,Time,robot_force,event_distance,deltax,weiss_z_force,radpose
129,1626252703.28212,8.965203285217289,88.3356781005859,0.5693799533823239,-7.023,0.01
130,1626252705.88201,11.5199670791626,89.8270721435547,0.56838720925955,-9.144,0.011000000000000001
131,1626252706.8829699,11.1017093658447,90.02796173095699,0.568368810090481,-8.934,0.012
132,1626252709.48301,6.339368343353269,87.9882659912109,0.569336241887711,-7.13,0.001
133,1626252712.07886,3.46826982498169,87.11703491210942,0.5703497196219929,-4.247,0.002
134,1626252714.6719,1.78797030448914,85.4408416748047,0.571343091009955,-3.4210000000000003,0.003
135,1626252717.26525,0.601847589015961,83.8896560668945,0.572358452984283,-1.6440000000000001,0.004
136,1626252719.86904,-0.35017663240432695,82.59169006347659,0.573350552716942,-1.3969999999999998,0.005
137,1626252722.4609199,-1.19582045078278,80.855598449707,0.5743451789987061,-0.068,0.006
138,1626252725.05981,-1.7622905969619798,78.46527099609379,0.57535677583227,-0.21,0.006999999999999999
139,1626252727.6582599,-2.2816846370697,74.4990005493164,0.5763514033735171,1.107,0.008
140,1626252730.25277,-2.73815512657166,70.2642669677734,0.577366134365143,0.5660000000000001,0.009000000000000001
141,1626252732.85064,-3.2970941066741903,66.2695999145508,0.5783576200537199,2.013,0.01
142,1626252735.44578,-3.51124691963196,66.3944091796875,0.579349723058186,1.929,0.011000000000000001
143,1626252736.45979,-3.21616840362549,66.08587646484379,0.5793718921044261,2.113,0.012
144,1626252739.0554,-1.32451939582825,66.491096496582,0.578396290619817,1.913,0.001
145,1626252741.65341,-0.12721642851829498,70.99098205566409,0.5774041748252341,1.485,0.002
146,1626252744.24243,0.41067829728126504,74.63856506347659,0.576389439655553,0.816,0.003
147,1626252746.84037,1.06313717365265,76.2569274902344,0.5753941809362061,0.289,0.004
148,1626252749.43841,1.85879266262054,79.6431427001953,0.5744063688876,-0.408,0.005
149,1626252752.03337,2.80908894538879,81.9594268798828,0.573387235128619,-1.228,0.006
150,1626252754.62827,3.9174191951751696,84.3632125854492,0.572373756854664,-1.91,0.006999999999999999
151,1626252757.22752,5.21187448501587,85.53627014160159,0.571381641787708,-3.165,0.008
152,1626252759.82213,6.70691680908203,86.65664672851558,0.5703888977268671,-4.703,0.009000000000000001
153,1626252762.4179802,8.946695327758789,88.3356781005859,0.5694156314282379,-6.72,0.01
154,1626252765.00233,11.582915306091301,90.1912384033203,0.568394215205854,-8.96,0.011000000000000001
155,1626252766.00709,11.1099767684937,89.96656036376949,0.568368904513426,-8.805,0.012
156,1626252768.60307,6.392864227294919,87.7880477905273,0.5693281681778679,-6.034,0.001
157,1626252771.1991901,3.4758474826812704,86.79629516601558,0.570340388433397,-3.986,0.002
158,1626252773.79373,1.87585997581482,85.14111328125,0.571335015803694,-2.51,0.003
159,1626252776.3908598,0.58190244436264,83.960563659668,0.572350378240432,-1.3230000000000002,0.004
160,1626252778.98706,-0.399395078420639,82.5660705566406,0.573342492312646,-0.5820000000000001,0.005
161,1626252781.5841,-1.14588761329651,80.9883575439453,0.574333348931015,0.23199999999999998,0.006
162,1626252784.18243,-1.7352180480956998,78.3949737548828,0.5753480819974089,0.7859999999999999,0.006999999999999999
163,1626252786.77979,-2.2693758010864302,74.52545166015629,0.576339567737699,1.1420000000000001,0.008
164,1626252789.37171,-2.68389868736267,70.0398101806641,0.577333566711222,1.67,0.009000000000000001
165,1626252791.96665,-3.2997069358825697,66.19473266601561,0.578349557115085,2.053,0.01
