Time,ms_error,force_desired,force_event,force_weiss,force_robot,force_weiss2,delta_z
1629894740.230437,12.184000015258789,0.0,-0.0,0.0,-4.037689208984375,0.96,0.5900414417758092
1629894740.2743561,12.17199993133545,0.0,-0.0,0.0,-3.9746322631835938,0.942,0.5900414417758092
1629894740.3186574,12.15999984741211,0.0,-0.0,0.0,-3.9282376766204834,0.846,0.5900414417758092
1629894740.3672414,12.14799976348877,0.0,-0.0,0.0,-3.8534843921661377,0.889,0.5900414417758092
1629894740.381229,12.144000053405762,0.0,-0.0,0.0,-3.8534843921661377,0.876,0.5900414417758092
1629894740.4224465,12.13599967956543,0.0,-0.0,0.0,-3.798556089401245,0.957,0.5900414417758092
1629894740.466634,12.125,0.0,-0.0,0.0,-3.7638301849365234,1.009,0.5900414417758092
1629894740.5106997,12.11299991607666,0.0,-0.0,0.0,-3.7620723247528076,0.93,0.5900414417758092
1629894740.5546677,12.10099983215332,0.0,-0.0,0.0,-3.7412173748016357,0.853,0.5900414417758092
1629894740.598476,12.093000411987305,0.0,-0.0,0.0,-3.7062649726867676,0.86,0.5900414417758092
1629894740.6194422,12.085000038146973,0.0,-0.0,0.0,-3.7062649726867676,0.89,0.5900414417758092
1629894740.66246,12.07699966430664,0.0,-0.0,0.0,-3.638204574584961,0.897,0.5900414417758092
1629894740.7107465,12.0649995803833,0.0,-0.0,0.0,-3.662677049636841,0.921,0.5900414417758092
1629894740.7576027,12.053999900817871,0.0,-0.0,0.0,-3.6751554012298584,0.939,0.5900414417758092
1629894740.802561,12.041999816894531,0.0,-0.0,0.0,-3.579914093017578,0.957,0.5900414417758092
1629894740.8027725,12.041999816894531,0.0,-0.0,0.0,-3.579914093017578,0.957,0.5900414417758092
1629894740.8505456,12.029999732971191,0.0,-0.0,0.0,-3.6478092670440674,1.003,0.5900414417758092
1629894740.8620226,12.026000022888184,0.0,-0.0,0.0,-3.492610454559326,1.002,0.5900414417758092
1629894740.9024959,12.013999938964844,0.0,-0.0,0.0,-3.5680432319641113,0.992,0.5900414417758092
1629894740.9463568,12.006999969482422,0.0,-0.0,0.0,-3.5513195991516113,1.037,0.5900414417758092
1629894740.9906235,11.994999885559082,0.0,-0.0,0.0,-3.532135248184204,1.041,0.5900414417758092
1629894741.0377703,11.982999801635742,0.0,-0.0,0.0,-3.5871188640594482,0.939,0.5900414417758092
1629894741.078648,11.972000122070312,0.0,-0.0,0.0,-3.5426714420318604,0.875,0.5900414417758092
1629894741.0995424,11.968000411987305,0.0,-0.0,0.0,-3.5087742805480957,0.856,0.5900414417758092
1629894741.1454737,11.956000328063965,0.0,-0.0,0.0,-3.5440640449523926,0.917,0.5900414417758092
1629894741.1864913,11.944999694824219,0.0,-0.0,0.0,-3.574899435043335,0.916,0.5900414417758092
1629894741.230389,11.937000274658203,0.0,-0.0,0.0,-3.4710745811462402,0.867,0.5900414417758092
1629894741.274599,11.925999641418457,0.0,-0.0,0.0,-2.9116451740264893,0.908,0.5900414417758092
1629894741.2746677,11.925999641418457,0.0,-0.0,0.0,-2.9116451740264893,0.908,0.5900414417758092
1629894741.320955,11.913999557495117,0.0,-0.0,0.0,-2.7803773880004883,0.878,0.5900414417758092
1629894741.3372557,11.90999984741211,0.0,-0.0,0.0,-2.7803773880004883,0.88,0.5900414417758092
1629894741.3891437,11.89900016784668,0.0,-0.0,0.0,-1.9050077199935913,0.945,0.5900414417758092
1629894741.4264226,11.892000198364258,0.0,-1.0582863092422485,0.0,-1.9393454790115356,0.691,0.5900414417758092
1629894741.4746127,11.88700008392334,0.0,-3.9056198596954346,0.0,3.158381938934326,-1.347,0.5900414417758092
1629894741.4746597,11.88700008392334,0.0,-3.9056198596954346,0.0,3.158381938934326,-1.488,0.5900414417758092
1629894741.518722,11.930999755859375,0.0,-8.0,0.0,7.070500373840332,-5.557,0.5900414417758092
1629894741.5413525,11.947999954223633,0.0,-8.0,0.0,7.070500373840332,-8.075,0.5900414417758092
1629894741.5824387,11.996000289916992,0.0,-7.529731750488281,0.0,7.611708164215088,-9.388,0.5900414417758092
1629894741.6265388,12.006999969482422,0.0,-5.163090229034424,0.0,5.305242538452148,-6.567,0.5900414417758092
1629894741.6704462,12.015999794006348,0.0,-4.463747501373291,0.0,3.835581064224243,-4.503,0.5900414417758092
1629894741.718729,12.02299976348877,0.0,-4.319597244262695,0.0,4.016716480255127,-4.017,0.5900414417758092
1629894741.762435,12.03600025177002,0.0,-5.581264495849609,0.0,4.626077175140381,-4.363,0.5900414417758092
1629894741.7866971,12.043000221252441,0.0,-5.845583438873291,0.0,5.198005676269531,-4.701,0.5900414417758092
1629894741.826374,12.065999984741211,-0.43953365087509155,-6.254985332489014,0.0,5.692693710327148,-5.225,0.5900414417758092
1629894741.870579,12.076000213623047,-0.8773326277732849,-5.999090194702148,0.0,5.928754806518555,-5.569,0.5900414417758092
1629894741.9151757,12.086999893188477,-1.5270026922225952,-5.936819553375244,0.0,5.805710792541504,-5.556,0.5900414417758092
1629894741.9637809,12.09000015258789,-2.163119077682495,-5.897523880004883,0.0,5.620122909545898,-5.382,0.5900414417758092
1629894742.0064676,12.088000297546387,-2.7800352573394775,-5.596072673797607,0.0,5.541276454925537,-5.3,0.5900414417758092
1629894742.0169601,12.088000297546387,-2.7800352573394775,-5.596072673797607,0.0,5.541276454925537,-5.251,0.5900414417758092
1629894742.062601,12.081999778747559,-3.3722758293151855,-5.429388046264648,0.0,5.562886714935303,-5.042,0.5900414417758092
1629894742.1068656,12.072999954223633,-3.9345836639404297,-5.429365634918213,0.0,5.415380477905273,-4.91,0.5900414417758092
1629894742.1552868,12.062000274658203,-4.461967945098877,-5.123727798461914,0.0,4.999101161956787,-4.9,0.5900414417758092
1629894742.1985168,12.055000305175781,-4.791829586029053,-5.101097583770752,0.0,4.844540119171143,-4.862,0.5900414417758092
1629894742.2226458,12.04699993133545,-5.102780342102051,-4.99191951751709,0.0,4.844540119171143,-4.856,0.5900414417758092
1629894742.266455,12.039999961853027,-5.393592834472656,-5.089050769805908,0.0,3.936906337738037,-4.767,0.5900414417758092
1629894742.3103325,12.029999732971191,-5.78956413269043,-3.956573963165283,0.0,2.9345669746398926,-4.22,0.5900414417758092
1629894742.3617795,12.026000022888184,-6.134146690368652,-2.957247495651245,0.0,1.6378949880599976,-3.087,0.5900414417758092
1629894742.4066672,12.031999588012695,-6.424282550811768,-1.7383266687393188,0.0,-1.052809476852417,-1.887,0.5900414417758092
1629894742.4506114,12.04800033569336,-6.657395839691162,-1.0186033248901367,0.0,-1.9351742267608643,-0.785,0.5900414417758092
1629894742.4639437,12.055000305175781,-6.722055912017822,-0.8163992166519165,0.0,-1.9351742267608643,-0.461,0.5900414417758092
1629894742.5075884,12.074999809265137,-6.831417560577393,-0.0,0.0,-3.355060577392578,0.267,0.5900414417758092
1629894742.5533671,12.109000205993652,-6.944802761077881,-0.0,0.0,-3.9201393127441406,0.764,0.5900414417758092
1629894742.5983102,12.142999649047852,-6.996545791625977,-0.0,0.0,-4.225033283233643,0.981,0.5900414417758092
1629894742.642529,12.178000450134277,6.986186981201172,-0.0,0.0,-4.035929203033447,0.998,0.5900414417758092
1629894742.6426466,12.178000450134277,6.986186981201172,-0.0,0.0,-4.035929203033447,0.994,0.5900414417758092
1629894742.6941743,12.211999893188477,6.913818359375,-0.0,0.0,-3.8383288383483887,0.91,0.5900414417758092
1629894742.7015026,12.222999572753906,6.876010894775391,-0.0,0.0,-3.8262529373168945,0.922,0.5900414417758092
1629894742.7423918,12.244000434875488,6.7800822257995605,-0.0,0.0,-3.7580318450927734,1.026,0.5900414417758092
1629894742.7868018,12.27400016784668,6.586165428161621,-0.0,0.0,-3.6847333908081055,0.964,0.5900414417758092
1629894742.8323166,12.300999641418457,6.333789348602295,-0.0,0.0,-3.619237184524536,0.915,0.5900414417758092
1629894742.8785064,12.324999809265137,6.02519416809082,-0.0,0.0,-3.451115846633911,0.838,0.5900414417758092
1629894742.8786392,12.324999809265137,6.02519416809082,-0.0,0.0,-3.451115846633911,0.832,0.5900414417758092
1629894742.9266024,12.343000411987305,5.663118839263916,-0.172626331448555,0.0,-3.453423261642456,0.753,0.5900414417758092
1629894742.9427676,12.348999977111816,5.531085014343262,-0.18946856260299683,0.0,-3.453423261642456,0.741,0.5900414417758092
1629894742.9866467,12.357000350952148,5.250777721405029,-0.29510927200317383,0.0,-3.5022850036621094,0.697,0.5900414417758092
1629894743.0304441,12.366000175476074,4.791829586029053,-0.25398504734039307,0.0,-3.7668657302856445,0.627,0.5900414417758092
1629894743.0753222,12.373000144958496,4.29034948348999,-0.0,0.0,-3.7691590785980225,0.583,0.5900414417758092
1629894743.118534,12.375,3.7507874965667725,-0.0,0.0,-4.384148120880127,0.78,0.5900414417758092
1629894743.1185691,12.375,3.7507874965667725,-0.0,0.0,-4.384148120880127,0.789,0.5900414417758092
1629894743.162645,12.375,3.3722758293151855,-0.0,0.0,-4.566349983215332,0.948,0.5900414417758092
