error,mode,mode2
1.509,novibro,AR
2.066,novibro,AR
1.609,novibro,AR
1.275,novibro,AR
2.107,novibro,AR
4.099,novibro,AR
2.108,novibro,AR
1.939,novibro,AR
3.521,novibro,AR
2.83,novibro,AR
1.944,novibro,AR
2.05,novibro,AR
1.329,novibro,AR
0.837,novibro,AR
2.356,novibro,AR
4.817,novibro,AR
1.267,novibro,AR
3.282,novibro,AR
3.032,novibro,AR
2.866,novibro,AR
1.072,novibro,AR
2.199,novibro,AR
2.168,novibro,AR
1.26,novibro,AR
2.345,novibro,AR
3.742,novibro,AR
3.163,novibro,AR
2.371,novibro,AR
3.287,novibro,AR
2.887,novibro,AR
1.669,novibro,AR
3.006,novibro,AR
1.35,novibro,AR
1.003,novibro,AR
1.624,vibro,AR
4.36,vibro,AR
4.399,vibro,AR
1.732,vibro,AR
2.743,vibro,AR
3.848,vibro,AR
1.531,vibro,AR
2.055,vibro,AR
1.901,vibro,AR
1.53,vibro,AR
2.146,vibro,AR
3.055,vibro,AR
1.811,vibro,AR
2.149,vibro,AR
3.132,vibro,AR
3.413,vibro,AR
1.132,vibro,AR
1.887,vibro,AR
3.247,vibro,AR
1.941,vibro,AR
2.088,vibro,AR
3.07,vibro,AR
2.292,vibro,AR
2.657,vibro,AR
2.488,vibro,AR
3.878,vibro,AR
1.169,vibro,AR
1.736,vibro,AR
2.073,vibro,AR
1.739,vibro,AR
2.001,vibro,AR
1.543,vibro,AR
1.785,vibro,AR
1.7,vibro,AR
2.271,vibro,AR
3.742,vibro,AR
1.665,vibro,AR
2.366,vibro,AR
2.709,vibro,AR
1.494,vibro,AR
2.502,vibro,AR
3.323,vibro,AR
1.637,vibro,AR
1.567,vibro,AR
2.494,vibro,AR
3.691,vibro,AR
1.114,vibro,AR
1.827,vibro,AR
3.497,vibro,AR
1.264,vibro,AR
1.866,vibro,AR
3.849,vibro,AR
1.714,vibro,AR
1.963,vibro,AR
2.779,vibro,AR
3.88,vibro,AR
1.957,vibro,AR
1.99,vibro,AR
1.666,vibro,AR
1.121,vibro,AR
1.859,vibro,AR
2.291,vibro,AR
1.883,vibro,AR
2.082,vibro,AR
2.077,vibro,AR
3.979,vibro,AR
2.19,vibro,AR
2.47,vibro,AR
2.287,vibro,AR
1.442,vibro,AR
1.715,vibro,AR
2.071,vibro,AR
2.382,vibro,AR
1.868,vibro,AR
2.018,vibro,AR
4.242,vibro,AR
1.104,vibro,AR
2.203,vibro,AR
2.756,vibro,AR
1.581,vibro,AR
1.488,vibro,AR
3.296,vibro,AR
1.386,vibro,AR
3.292,vibro,AR
1.87,vibro,AR
3.468,vibro,AR
1.475,vibro,AR
2.548,vibro,AR
0.897,vibro,AR
1.371,vibro,AR
2.552,vibro,AR
2.898,vibro,AR
2.062,vibro,AR
1.928,vibro,AR
1.431,vibro,AR
3.823,vibro,AR
1.793,vibro,AR
2.156,vibro,AR
1.302,vibro,AR
1.197,vibro,AR
2.887,vibro,AR
3.179,vibro,AR
0.912,vibro,AR
2.285,vibro,AR
2.573,vibro,AR
3.674,vibro,AR
1.312,vibro,AR
2.003,vibro,AR
1.145,vibro,AR
1.32,vibro,AR
1.886,vibro,AR
3.106,vibro,AR
1.575,vibro,AR
2.069,vibro,AR
1.653,vibro,AR
3.585,vibro,AR
2.063,vibro,AR
2.022,vibro,AR
1.89,vibro,AR
1.36,vibro,AR
2.562,vibro,AR
3.19,vibro,AR
1.509,vibro,AR
2.309,vibro,AR
1.432,vibro,AR
4.03,vibro,AR
2.545,vibro,AR
2.901,vibro,AR
1.81,vibro,AR
1.411,vibro,AR
2.452,vibro,AR
4.126,vibro,AR
0.978,vibro,AR
2.419,vibro,AR
2.599,vibro,AR
3.912,vibro,AR
1.423,vibro,AR
1.188,vibro,AR
1.473,vibro,AR
1.388,vibro,AR
2.855,vibro,AR
3.599,vibro,AR
1.767,vibro,AR
2.669,vibro,AR
3.9,vibro,AR
3.506,vibro,AR
1.289,vibro,AR
2.231,vibro,AR
3.678,vibro,AR
1.276,vibro,AR
